Simulation of a queueing system with,5, servers,,,,,
Mean interarrival time,10, minutes,,,,,
Mean service time,15, minutes,,,,,
With Queue,,,,,,,
LIFO discipline,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,1000,1000,1000,1000,1000, costumers,
Average delay in queue per client,0.159,0.053,0.017,0.15,0.12, minutes,
Average number of clients in queue,0.016,0.005,0.002,0.015,0.012, clients,
Waiting rate,0.026,0.021,0.01,0.032,0.023,,
Server 1 utilization,0.071,0.0594,0.0495,0.0474,0.0663,,
Server 2 utilization,0.1586,0.1514,0.1279,0.1275,0.1528,,
Server 3 utilization,0.3082,0.2851,0.3011,0.2611,0.3029,,
Server 4 utilization,0.4523,0.4573,0.4039,0.4191,0.4649,,
Server 5 utilization,0.6108,0.6154,0.5841,0.6038,0.5865,,
Soma dos servidores,1.6009,1.5686,1.4665,1.459,1.5733,,
Simulation time,9764.504,9933.467,10039.646,10271.611,10076.199, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 1.452 1.616 ] ,,0.0998,,0.164,0.10693374,10.69337402
Waiting rate,[ 0.012 0.032 ] ,,0.01,,0.02,0.892857143,89.28571429
,,,0.0224,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,1.5,,,,,,
Earlang - C,0.02,,,,,,
W_e,4.286,,,,,,
L_q,0.009,,,,,,
,,,1.53366,,,,
,,,,,,,
