Simulation of a queueing system with,5, servers,,,,,,,,,
Mean interarrival time,10, minutes,,,,,,,,,
Mean service time,15, minutes,,,,,,,,,
With Queue,,,,,,,,,,,
LIFO discipline,,,,,,,,,,,
,,,,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida,
Number of costumers,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000, costumers
Average delay in queue per client,0.159,0.053,0.017,0.15,0.12,0.095,0.228,0.141,0.021,0.044, minutes
Average number of clients in queue,0.016,0.005,0.002,0.015,0.012,0.009,0.023,0.014,0.002,0.005, clients
Waiting rate,0.026,0.021,0.01,0.032,0.023,0.017,0.043,0.0269,0.008,0.008,
Server 1 utilization,0.071,0.0594,0.0495,0.0474,0.0663,0.0596,0.0976,0.0596,0.0285,0.0497,
Server 2 utilization,0.1586,0.1514,0.1279,0.1275,0.1528,0.1376,0.1435,0.1176,0.1048,0.1343,
Server 3 utilization,0.3082,0.2851,0.3011,0.2611,0.3029,0.231,0.3073,0.2624,0.2468,0.2824,
Server 4 utilization,0.4523,0.4573,0.4039,0.4191,0.4649,0.4339,0.4284,0.4287,0.4003,0.4626,
Server 5 utilization,0.6108,0.6154,0.5841,0.6038,0.5865,0.5688,0.6045,0.5983,0.613,0.6077,
Soma dos servidores,1.6009,1.5686,1.4665,1.459,1.5733,1.4309,1.5813,1.4665,1.3934,1.5366,
Simulation time,9764.504,9933.467,10039.646,10271.611,10076.199,10340.031,9845.904,10037.083,10312.851,9529.456, minutes
,,,,,,,,,,,
Intervalos de Confianca,,,,,,,,,,,
Trafego Transportado,[ 1.456 1.560 ] ,,0.1028,,0.104,0.06897924,6.89792399,,,,
Waiting rate,[ 0.013 0.030 ] ,,0.0103,,0.017,0.791065612,79.10656119,,,,
,,,0.02149,,,,,,,,
Valores Teoricos,,,,,,,,,,,
Trafego Oferecido ,1.5,,,,,,,,,,
Earlang - C,0.02,,,,,,,,,,
W_e,4.286,,,,,,,,,,
L_q,0.009,,,,,,,,,,
,,,1.5077,,,,,,,,
,,,,,,,,,,,
