Simulation of a queueing system with,1, servers,,,,,,
Mean interarrival time,15, minutes,,,,,,
Mean service time,4, minutes,,,,,,
Without Queue,,,,,,,,
,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,,
Number of costumers,1000,1000,1000,1000,1000, costumers,,
Average number of costumers delayed,719,764,751,712,734, costumers,,
Average number of lost clients,281,236,249,288,266, clients,,
Blocking rate,0.281,0.236,0.249,0.288,0.266,,,
Server 1 utilization,0.2155,0.2021,0.2085,0.2088,0.2027,,,
Soma dos servidores,0.2155,0.2021,0.2085,0.2088,0.2027,,,
Simulation time,18636.863,18645.398,19070.217,19641.941,19105.023, minutes,,
,,,,,,,,
Intervalos de Confianca,,,,,,,,
Trafego Transportado,[ 0.201 0.214 ] ,,736,,0.013,0.062644564,6.264456438,%
Blocking rate,[ 0.237 0.291 ] ,,264,,0.054,0.204545455,20.45454545,%
,,,0.264,,,,,
Valores Teoricos,,,,,,,,
Trafego Oferecido ,0.267,,0.20752,,,,,
Earlang - B,0.211,,,,,,,
Trafego Transportado,0.211,,,,,,,
