Simulation of a queueing system with,5, servers,,,,,,,,,
Mean interarrival time,10, minutes,,,,,,,,,
Mean service time,15, minutes,,,,,,,,,
Without Queue,,,,,,,,,,,
,,,,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida,
Number of customers,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000, costumers
Average number of customers delayed,98486,98600,98597,98537,98611,98576,98422,98556,98473,98520, costumers
Average number of lost clients,1514,1400,1403,1463,1389,1424,1578,1444,1527,1480, clients
Blocking rate,0.0151,0.014,0.014,0.0146,0.0139,0.0142,0.0158,0.0144,0.0153,0.0148,
Server 1 utilization,0.0517,0.0485,0.0498,0.0506,0.0513,0.0503,0.0529,0.0506,0.0524,0.0506,
Server 2 utilization,0.1301,0.1288,0.1274,0.1298,0.1306,0.1272,0.1299,0.1299,0.1321,0.1285,
Server 3 utilization,0.2648,0.2677,0.265,0.2624,0.2676,0.2653,0.2651,0.2664,0.2637,0.2631,
Server 4 utilization,0.4366,0.4359,0.4335,0.433,0.436,0.4323,0.4344,0.4375,0.4346,0.4329,
Server 5 utilization,0.5994,0.5989,0.5971,0.5966,0.6006,0.599,0.5988,0.603,0.5981,0.5975,
Soma dos servidores,1.4826,1.4798,1.4728,1.4724,1.4861,1.4741,1.4811,1.4874,1.4809,1.4726,
Simulation time,1013941,1015225.125,1012840.25,1020197.5,1014676.125,1015759.313,1012522.375,1014316.938,1013056.125,1016556.188, minutes
,,,,,,,,,,,
Intervalo de Confianca,,0.1461,0.01461,,,,,,,,
[ 0.014 0.015 ] ,,,0.001,,,,,,,,
,,,0.06844627,6.844626968,%,,,,,,
Valores Teoricos,,,,,,,,,,,
Trafego Oferecido ,1.5,,,,,,,,,,
Earlang - B,0.014,,,,,,,,,,
Trafego Transportado,1.479,,,,,,,,,,
,,,,,,,,,,,
,0.0036,0.0008,-0.0062,-0.0066,0.0071,-0.0049,0.0021,0.0084,0.0019,-0.0064,
