

Simulation of a queueing system with 8 servers

Mean interarrival time;        2.00 ; minutes

Mean service time;             4.00 ; minutes

Number of customers ;           1000

With Queue

LIFO discipline



Average delay in queue per client ;        0.000 ; minutes

Average number of clients in queue ;       0.000


Server 1 utilization ;                     0.242

Server 2 utilization ;                     0.225

Server 3 utilization ;                     0.224

Server 4 utilization ;                     0.241

Server 5 utilization ;                     0.000

Server 6 utilization ;                     1.307

Server 7 utilization ;                     0.511

Server 8 utilization ; 173889547104329050000000000000000000000000000000000000000000000000000000.000

Time simulation ended ;                    1957.088 ; minutes

Simulation of a queueing system with 8 servers

Mean interarrival time;        2.00 ; minutes

Mean service time;             4.00 ; minutes

Number of customers ;           1000

With Queue

LIFO discipline



Average delay in queue per client ;        0.000 ; minutes

Average number of clients in queue ;       0.000


Server 1 utilization ;                     0.242

Server 2 utilization ;                     0.225

Server 3 utilization ;                     0.224

Server 4 utilization ;                     0.241

Server 5 utilization ;                     0.000

Server 6 utilization ;                     1.307

Server 7 utilization ;                     0.511

Server 8 utilization ; 173889547104329050000000000000000000000000000000000000000000000000000000.000

Time simulation ended ;                    2090.274 ; minutes

Simulation of a queueing system with 8 servers

Mean interarrival time;        2.00 ; minutes

Mean service time;             4.00 ; minutes

Number of customers ;           1000

With Queue

LIFO discipline



Average delay in queue per client ;        0.000 ; minutes

Average number of clients in queue ;       0.000


Server 1 utilization ;                     0.242

Server 2 utilization ;                     0.225

Server 3 utilization ;                     0.224

Server 4 utilization ;                     0.241

Server 5 utilization ;                     0.000

Server 6 utilization ;                     1.307

Server 7 utilization ;                     0.511

Server 8 utilization ; 173889547104329050000000000000000000000000000000000000000000000000000000.000

Time simulation ended ;                    2069.796 ; minutes

Simulation of a queueing system with 8 servers

Mean interarrival time;        2.00 ; minutes

Mean service time;             4.00 ; minutes

Number of customers ;           1000

With Queue

LIFO discipline



Average delay in queue per client ;        0.000 ; minutes

Average number of clients in queue ;       0.000


Server 1 utilization ;                     0.242

Server 2 utilization ;                     0.225

Server 3 utilization ;                     0.224

Server 4 utilization ;                     0.241

Server 5 utilization ;                     0.000

Server 6 utilization ;                     1.307

Server 7 utilization ;                     0.511

Server 8 utilization ; 173889547104329050000000000000000000000000000000000000000000000000000000.000

Time simulation ended ;                    2065.395 ; minutes

Simulation of a queueing system with 8 servers

Mean interarrival time;        2.00 ; minutes

Mean service time;             4.00 ; minutes

Number of customers ;           1000

With Queue

LIFO discipline



Average delay in queue per client ;        0.000 ; minutes

Average number of clients in queue ;       0.000


Server 1 utilization ;                     0.242

Server 2 utilization ;                     0.225

Server 3 utilization ;                     0.224

Server 4 utilization ;                     0.241

Server 5 utilization ;                     0.000

Server 6 utilization ;                     1.307

Server 7 utilization ;                     0.511

Server 8 utilization ; 173889547104329050000000000000000000000000000000000000000000000000000000.000

Time simulation ended ;                    1905.118 ; minutes
